Gene,NCTId,Overall_Status,Conditions,Phase,Phase_Score,Status_Score,Cancer_Score,Modality_Score,Total_Score,EARLY_PHASE1,N/A,NA,PHASE1,PHASE2,PHASE3,PHASE4
BCL10,NCT02388581,UNKNOWN,Gastric Diffuse Large B-cell Lymphoma,PHASE2,4,1,10,16,31,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BCL11A,NCT06146478,COMPLETED,Transfusion-dependent Beta-Thalassemia,PHASE3,5,3,0,16,24,0.0,0.0,0.0,4.0,2.0,1.0,0.0
BCL2,NCT02872818,COMPLETED,Apoptotic Signal Pathways in Endometrial Hyperplasia,PHASE4,6,3,0,16,25,3.0,0.0,11.0,102.0,96.0,12.0,5.0
BCL2L1,NCT03412786,COMPLETED,Prostate Cancer,PHASE1,3,3,10,16,32,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BCL2L11,NCT03617913,COMPLETED,"Bladder Carcinoma Infiltrating the Muscle of the Bladder Wall, Stage II Bladder Cancer AJCC v8, Stage II Renal Pelvis Cancer AJCC v8, Stage II Ureter Cancer AJCC v8, Stage II Urethral Cancer AJCC v8, Stage III Bladder Cancer AJCC v8, Stage III Renal Pelvis Cancer AJCC v8, Stage III Ureter Cancer AJCC v8, Stage III Urethral Cancer AJCC v8, Stage IIIA Bladder Cancer AJCC v8, Stage IIIB Bladder Cancer AJCC v8, Urethral Urothelial Carcinoma",PHASE2,4,3,10,16,33,0.0,0.0,0.0,3.0,1.0,0.0,0.0
BCL2L12,NCT03020017,COMPLETED,"Gliosarcoma, Recurrent Glioblastoma",EARLY_PHASE1,2,3,10,16,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL6,NCT05164770,UNKNOWN,"High Grade B-Cell Lymphoma, Not Otherwise Specified, High Grade B-Cell Lymphoma With MYC and BCL2 and/or BCL6 Rearrangements, Diffuse Large B Cell Lymphoma, B-cell Non Hodgkin Lymphoma, Mantle Cell Lymphoma",PHASE3,5,1,10,16,32,0.0,0.0,1.0,2.0,5.0,1.0,0.0
BCR,NCT01243489,COMPLETED,Chronic Myelogenous Leukemia (CML),PHASE4,6,3,10,16,35,4.0,0.0,85.0,154.0,225.0,81.0,28.0
BDH1,NCT05924295,RECRUITING,Ketosis,NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BDNF,NCT00812994,COMPLETED,Depression,PHASE4,6,3,0,16,25,7.0,0.0,243.0,15.0,25.0,12.0,19.0
BEGAIN,NCT02277847,UNKNOWN,Acute Myeloid Leukemia,PHASE4,6,1,10,16,33,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BEST1,NCT00256984,COMPLETED,"Obstructive Defecation Syndrome, Chronic Constipation, Rectocele, Intussusception",PHASE4,6,3,0,16,25,0.0,0.0,2.0,1.0,3.0,1.0,1.0
BID,NCT00370838,COMPLETED,"Tic Disorders, Tourette Syndrome",PHASE4,6,3,0,16,25,5.0,0.0,20.0,29.0,66.0,26.0,23.0
BIK,NCT04542070,COMPLETED,HIV Infections,PHASE3,5,3,0,16,24,0.0,0.0,1.0,2.0,0.0,1.0,0.0
BIRC2,NCT03803774,TERMINATED,"Locally Recurrent Head and Neck Squamous Cell Carcinoma, Nasopharyngeal Squamous Cell Carcinoma, Sinonasal Squamous Cell Carcinoma",PHASE1,3,0,10,16,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BIRC3,NCT04269083,UNKNOWN,Esophageal Cancer,NA,0,1,10,16,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BIRC5,NCT02872818,COMPLETED,Apoptotic Signal Pathways in Endometrial Hyperplasia,PHASE4,6,3,0,16,25,3.0,0.0,2.0,45.0,13.0,0.0,1.0
BLM,NCT00969462,COMPLETED,Non-Hodgkin's Lymphoma,PHASE4,6,3,10,16,35,0.0,0.0,15.0,10.0,41.0,31.0,6.0
BLMH,NCT01558193,COMPLETED,Aggression,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BLNK,NCT06769061,NOT_YET_RECRUITING,"Gynaecological, Urological or Rectal Cancer, Chemotherapy-Induced Peripheral Neuropathy, Acupuncture",NA,0,2,10,16,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BMF,NCT00545363,COMPLETED,Postmenopausal Osteoporosis,PHASE4,6,3,0,16,25,1.0,0.0,3.0,3.0,1.0,0.0,2.0
BMI1,NCT03345966,UNKNOWN,Oral Squamous Cell Carcinoma,NA,0,1,10,16,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BMPR2,NCT06658522,NOT_YET_RECRUITING,"Pulmonary Arterial Hypertension PAH, Pulmonary Arterial Hypertension WHO Group I, Pulmonary Arterial Hypertension",PHASE4,6,2,0,16,24,0.0,0.0,2.0,0.0,2.0,0.0,1.0
BORA,NCT02808819,COMPLETED,Asthma,PHASE3,5,3,0,16,24,0.0,0.0,9.0,0.0,1.0,2.0,0.0
BRAF,NCT01739764,COMPLETED,Neoplasms,PHASE4,6,3,10,16,35,7.0,0.0,39.0,171.0,279.0,54.0,5.0
BRAP,NCT03531840,COMPLETED,Mesothelioma,PHASE2,4,3,0,16,23,0.0,0.0,1.0,0.0,1.0,0.0,0.0
BRCA1,NCT02476968,COMPLETED,BRCA or HRR+ Mutated Ovarian Cancer Patients,PHASE4,6,3,10,16,35,1.0,0.0,56.0,41.0,96.0,20.0,7.0
BRCA2,NCT02476968,COMPLETED,BRCA or HRR+ Mutated Ovarian Cancer Patients,PHASE4,6,3,10,16,35,0.0,0.0,28.0,20.0,45.0,7.0,3.0
BRD4,NCT04915300,NOT_YET_RECRUITING,Pulmonary Arterial Hypertension,PHASE2,4,2,0,16,22,1.0,0.0,0.0,6.0,1.0,0.0,0.0
BRIP1,NCT02952534,COMPLETED,Metastatic Castration Resistant Prostate Cancer,PHASE2,4,3,10,16,33,0.0,0.0,5.0,1.0,21.0,0.0,0.0
BSG,NCT05797597,RECRUITING,AERD - Aspirin Exacerbated Respiratory Disease,PHASE3,5,2,0,16,23,0.0,0.0,9.0,1.0,1.0,1.0,0.0
BST2,NCT02224599,TERMINATED,"Progressive Solid Malignancies, Refractory Solid Malignancies, Cancer",PHASE1,3,0,10,16,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BTBD8,NCT01467648,COMPLETED,Ventilator-Associated Pneumonia,PHASE4,6,3,0,16,25,1.0,0.0,53.0,5.0,6.0,4.0,11.0
BTD,NCT04612582,UNKNOWN,Immunoglobulin Light-Chain Amyloidosis,PHASE4,6,1,0,16,23,0.0,0.0,2.0,0.0,1.0,0.0,1.0
C5,NCT02203162,COMPLETED,Cough,PHASE4,6,3,0,16,25,0.0,0.0,47.0,16.0,23.0,20.0,9.0
CA2,NCT02248233,COMPLETED,Cerebral Infarction,PHASE4,6,3,0,16,25,0.0,0.0,16.0,6.0,8.0,11.0,4.0
CACNA1A,NCT01543750,WITHDRAWN,Episodic Ataxia Type 2,PHASE2,4,0,0,16,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CACNA1C,NCT02068404,UNKNOWN,Preterm Labor,PHASE4,6,1,0,16,23,1.0,0.0,3.0,0.0,0.0,0.0,1.0
CACNA1D,NCT05686993,COMPLETED,"Primary Aldosteronism, Endocrine Hypertension",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CAD,NCT00231738,COMPLETED,"Myocardial Infarction, Unstable Angina Pectoris, Sudden Cardiac Death, Stroke, Peripheral Artery Disease",PHASE4,6,3,0,16,25,2.0,0.0,93.0,9.0,9.0,17.0,23.0
CADM1,NCT03183700,UNKNOWN,Cervical Cancer,NA,0,1,10,16,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CALR,NCT03232177,COMPLETED,Essential Thrombocythemia,PHASE4,6,3,0,16,25,1.0,0.0,7.0,11.0,8.0,5.0,2.0
CAP1,NCT00464308,COMPLETED,Gastro-oesophageal Reflux,PHASE4,6,3,0,16,25,0.0,0.0,5.0,7.0,2.0,1.0,1.0
CAPS,NCT02351960,COMPLETED,Gastroesophageal Reflux Disease,PHASE4,6,3,0,16,25,3.0,0.0,95.0,79.0,61.0,28.0,25.0
CARD8,NCT01535586,UNKNOWN,Obstructive Sleep Apnea,PHASE4,6,1,0,16,23,2.0,0.0,70.0,10.0,13.0,15.0,2.0
CARF,NCT02203643,ACTIVE_NOT_RECRUITING,MULTIPLE MYELOMA (MM),PHASE2,4,2,0,16,22,0.0,0.0,0.0,1.0,1.0,0.0,0.0
CARS2,NCT06359080,COMPLETED,Autism Spectrum Disorder,NA,0,3,0,16,19,0.0,0.0,2.0,0.0,0.0,0.0,0.0
CASK,NCT03673982,COMPLETED,Anorexia Nervosa,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CASP1,NCT00137111,COMPLETED,"Lymphoblastic Leukemia, Acute",PHASE3,5,3,10,16,34,0.0,0.0,3.0,0.0,1.0,1.0,0.0
CASP3,NCT06250517,RECRUITING,Lung Transplant Failure,NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CASP8,NCT05417061,COMPLETED,"Periodontitis, Diagnose Disease",NA,0,3,0,16,19,0.0,0.0,3.0,0.0,0.0,0.0,0.0
CASP9,NCT00710892,ACTIVE_NOT_RECRUITING,"Acute Lymphoblastic Leukemia, Non-Hodgkin's Lymphoma, Myelodysplastic Syndrome, Chronic Myeloid Leukemia",PHASE1,3,2,10,16,31,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CAST,NCT00610220,COMPLETED,Distal Radius Fractures,PHASE4,6,3,0,16,25,3.0,0.0,375.0,6.0,15.0,13.0,15.0
CAT,NCT01051466,COMPLETED,"Major Depressive Disorder, Healthy Participants",PHASE4,6,3,0,16,25,4.0,0.0,242.0,24.0,59.0,26.0,23.0
CAV1,NCT04776889,COMPLETED,Prostate Cancer Metastatic,PHASE4,6,3,10,16,35,0.0,0.0,5.0,2.0,3.0,0.0,1.0
CBFB,NCT06211452,COMPLETED,"AML, Pediatric AML",PHASE3,5,3,0,16,24,0.0,0.0,1.0,0.0,2.0,1.0,0.0
CBL,NCT00035880,COMPLETED,Graft Vs Host Disease,PHASE2,4,3,0,16,23,1.0,0.0,8.0,4.0,3.0,0.0,0.0
CBX3,NCT02150330,COMPLETED,"Dehydroepiandrosterone, DHEAS, Gene Expression of Cumulus Cells., Ovarian Hyper-stimulation Protocol., Artificial Reproduction Technology.",PHASE3,5,3,0,16,24,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CCDC124,NCT03788668,UNKNOWN,Obstructive Sleep Apnea,NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCDC88B,NCT04959864,RECRUITING,Male Infertility,NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCL2,NCT03059966,COMPLETED,Gingival Recession,PHASE4,6,3,0,16,25,1.0,0.0,54.0,7.0,17.0,8.0,24.0
CCND1,NCT03356223,COMPLETED,"Head and Neck Cancer, Advanced Cancer, Metastatic Cancer",PHASE2,4,3,10,16,33,0.0,0.0,0.0,1.0,7.0,0.0,0.0
CCND2,NCT03310879,RECRUITING,Cancer,PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCND3,NCT03310879,RECRUITING,Cancer,PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCNE1,NCT03253679,COMPLETED,"Advanced Malignant Solid Neoplasm, Refractory Malignant Solid Neoplasm",PHASE2,4,3,10,16,33,0.0,0.0,0.0,11.0,3.0,0.0,0.0
CCS,NCT01917240,COMPLETED,Infertility,PHASE4,6,3,0,16,25,1.0,0.0,94.0,9.0,21.0,7.0,9.0
CD14,NCT01458652,COMPLETED,Loss of Solute Clearance,PHASE4,6,3,0,16,25,1.0,0.0,21.0,7.0,17.0,0.0,5.0
CD160,NCT03680794,UNKNOWN,"Diabetic Retinopathy, Retinal Vein Occlusion",NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CD200,NCT06305910,RECRUITING,"Diffuse Midline Glioma, H3 K27M-Mutant, Recurrent High Grade Glioma",PHASE1,3,2,0,16,21,0.0,0.0,0.0,3.0,0.0,0.0,0.0
CD22,NCT05687032,ACTIVE_NOT_RECRUITING,Acute Lymphoblastic Leukemia,PHASE4,6,2,10,16,34,11.0,0.0,4.0,112.0,23.0,1.0,1.0
CD226,NCT05468866,UNKNOWN,Immune Thrombocytopenia,NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CD276,NCT04743661,ACTIVE_NOT_RECRUITING,"Recurrent Medulloblastoma, Recurrent Ependymoma",PHASE2,4,2,0,16,22,4.0,0.0,2.0,7.0,1.0,0.0,0.0
CD37,NCT04136275,COMPLETED,"Hematologic Malignancy, Leukemia, Lymphoma, Lymphoma, B-Cell, Lymphoma, T-Cell, Lymphoma, Non-Hodgkin",PHASE1,3,3,10,16,32,0.0,0.0,0.0,3.0,0.0,0.0,0.0
CD40,NCT00982358,COMPLETED,"Hypertension, Type 2 Diabetes Mellitus, Coronary Artery Disease",PHASE4,6,3,0,16,25,1.0,0.0,8.0,55.0,20.0,2.0,5.0
CD44,NCT02078882,COMPLETED,Primary Biliary Cirrhosis,PHASE4,6,3,0,16,25,6.0,0.0,8.0,15.0,18.0,4.0,3.0
CD46,NCT06842498,NOT_YET_RECRUITING,Metastatic Castration-Resistant Prostate Cancer,PHASE2,4,2,10,16,32,0.0,0.0,2.0,3.0,1.0,0.0,0.0
CD47,NCT06814067,NOT_YET_RECRUITING,"Head and Neck Squamous Cell Carcinoma, Head and Neck Squamous Cell Carcinoma HNSCC",PHASE2,4,2,10,16,32,1.0,0.0,1.0,30.0,5.0,0.0,0.0
CD48,NCT05664568,RECRUITING,"Tuberculosis, Pulmonary",PHASE2,4,2,0,16,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CD55,NCT04209634,COMPLETED,"CD55-deficient Protein-losing Enteropathy, CHAPLE",PHASE2,4,3,0,16,23,0.0,0.0,1.0,1.0,2.0,0.0,0.0
CD58,NCT01267643,TERMINATED,Aplastic Anemia,PHASE1,3,0,0,16,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CD59,NCT02751255,COMPLETED,Multiple Myeloma,PHASE1,3,3,0,16,22,1.0,0.0,1.0,3.0,0.0,0.0,0.0
CD63,NCT05001529,UNKNOWN,Severe Asthma,PHASE4,6,1,0,16,23,0.0,0.0,2.0,0.0,2.0,1.0,1.0
CD68,NCT01765946,COMPLETED,"Insulin Resistance, Prediabetes, Aging, Inflammation",PHASE4,6,3,0,16,25,0.0,0.0,11.0,2.0,8.0,1.0,1.0
CD74,NCT06383884,RECRUITING,"Solid Tumor, Adult",PHASE2,4,2,10,16,32,0.0,0.0,1.0,6.0,3.0,0.0,0.0
CD81,NCT06773572,COMPLETED,"Infertility, Female, Reproductive Techniques, Assisted",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CD83,NCT00515983,COMPLETED,Melanoma,PHASE1,3,3,10,16,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0
CD9,NCT02138331,UNKNOWN,Diabetes Mellitus Type 1,PHASE2,4,1,0,16,21,0.0,0.0,2.0,1.0,1.0,0.0,0.0
CD96,NCT04488939,COMPLETED,Decolletage Rejuvenation,PHASE4,6,3,0,16,25,2.0,0.0,271.0,13.0,17.0,5.0,8.0
CDC42,NCT04641442,ACTIVE_NOT_RECRUITING,"NLRC4-GOF, AIFEC (Autoinflammation With Infantile Enterocolitis), XIAP Deficiency, CDC42 Mutations",PHASE2,4,2,0,16,22,0.0,0.0,1.0,1.0,1.0,0.0,0.0
CDC7,NCT03096054,ACTIVE_NOT_RECRUITING,"A. Colorectal Cancer, B. High Grade Serous Ovarian Cancer, C. Non Small-cell Lung Cancer (squamous Cell Variant), D. Squamous Carcinoma of the Oesophagus, E. Squamous Carcinoma of the Head and Neck (HPV Negative), F. Urothelial Cancer, G. Breast Cancer (triple Negative Type), H. Pancreatic Cancer",PHASE1,3,2,10,16,31,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CDH1,NCT04535414,COMPLETED,"Gastric Cancer, Gastric Neoplasms, Gastric Adenocarcinoma",PHASE2,4,3,10,16,33,0.0,0.0,4.0,0.0,7.0,0.0,0.0
CDH13,NCT04651946,UNKNOWN,"Epithelial Ovarian Cancer, DNA Methylation, Benign Ovarian Tumor, Training Set, Validation Set, Cell-free DNA, Liquid Biopsy",PHASE2,4,1,10,16,31,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CDH3,NCT05242965,RECRUITING,"Lung Non-Small Cell Carcinoma, Stage IV Lung Cancer AJCC v8",PHASE2,4,2,10,16,32,0.0,0.0,0.0,1.0,1.0,0.0,0.0
CDK1,NCT02593019,COMPLETED,Small Cell Lung Cancer,PHASE2,4,3,10,16,33,0.0,0.0,0.0,4.0,3.0,0.0,0.0
CDK12,NCT03570619,COMPLETED,"Metastatic Castration Resistant Prostate Cancer, Metastatic Cancer, Solid Tumor",PHASE2,4,3,10,16,33,0.0,0.0,0.0,1.0,11.0,0.0,0.0
CDK2,NCT02593019,COMPLETED,Small Cell Lung Cancer,PHASE2,4,3,10,16,33,0.0,0.0,0.0,5.0,2.0,0.0,0.0
CDK4,NCT06613373,NOT_YET_RECRUITING,Breast Cancer,PHASE4,6,2,10,16,34,4.0,0.0,15.0,82.0,102.0,36.0,5.0
CDK6,NCT03356223,COMPLETED,"Head and Neck Cancer, Advanced Cancer, Metastatic Cancer",PHASE2,4,3,10,16,33,0.0,0.0,0.0,5.0,7.0,0.0,0.0
CDK7,NCT04247126,COMPLETED,"Advanced Solid Tumor, Breast Cancer, Small-cell Lung Cancer, Pancreatic Cancer",PHASE1,3,3,10,16,32,0.0,0.0,0.0,2.0,0.0,0.0,0.0
CDK8,NCT04021368,ACTIVE_NOT_RECRUITING,"Acute Myeloid Leukemia, High-risk Myelodysplastic Syndrome",PHASE1,3,2,10,16,31,0.0,0.0,0.0,3.0,0.0,0.0,0.0
CDK9,NCT00835419,COMPLETED,Melanoma,PHASE2,4,3,10,16,33,0.0,0.0,0.0,5.0,1.0,0.0,0.0
CDKL5,NCT03572933,COMPLETED,CDKL5 Deficiency Disorder,PHASE3,5,3,0,16,24,0.0,0.0,3.0,0.0,3.0,3.0,0.0
CDKN1A,NCT04767984,RECRUITING,"Colorectal Carcinoma, Ulcerative Colitis",PHASE2,4,2,10,16,32,0.0,0.0,1.0,0.0,2.0,0.0,0.0
CDKN1B,NCT04037462,TERMINATED,"Non-Small Cell Lung Cancer, Immunotherapy",PHASE1,3,0,10,16,29,0.0,0.0,1.0,1.0,0.0,0.0,0.0
CDKN1C,NCT00945009,ACTIVE_NOT_RECRUITING,"Adult Kidney Wilms Tumor, Beckwith-Wiedemann Syndrome, Childhood Kidney Wilms Tumor, Diffuse Hyperplastic Perilobar Nephroblastomatosis, Rhabdoid Tumor of the Kidney, Stage I Kidney Wilms Tumor, Stage II Kidney Wilms Tumor, Stage III Kidney Wilms Tumor, Stage IV Kidney Wilms Tumor, Stage V Kidney Wilms Tumor",PHASE3,5,2,10,16,33,0.0,0.0,1.0,0.0,0.0,1.0,0.0
CDKN2A,NCT04966481,RECRUITING,HPV-unrelated Head and Neck Squamous Cell Carcinoma,PHASE3,5,2,10,16,33,2.0,0.0,9.0,8.0,15.0,1.0,0.0
CDKN2B,NCT01907607,COMPLETED,Advanced Gastrointestinal Stromal Tumors,PHASE2,4,3,10,16,33,0.0,0.0,2.0,0.0,1.0,0.0,0.0
CDKN2C,NCT03732703,COMPLETED,Relapsed Refractory Multiple Myeloma,PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CEACAM1,NCT02346955,TERMINATED,"Non-small Cell Lung Carcinoma (NSCLC), Melanoma, Bladder Cancer, Colorectal Cancer, Gastric Cancer, Ovarian Cancer",PHASE1,3,0,10,16,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CENPE,NCT00504790,COMPLETED,Cancer,PHASE1,3,3,10,16,32,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CEP290,NCT03913143,ACTIVE_NOT_RECRUITING,"Leber Congenital Amaurosis 10, Blindness, Leber Congenital Amaurosis, Vision Disorders, Sensation Disorders, Neurologic Manifestations, Eye Diseases, Eye Diseases, Hereditary, Eye Disorders Congenital, Retinal Disease",PHASE2,4,2,0,16,22,0.0,0.0,0.0,3.0,2.0,0.0,0.0
CEP72,NCT03117751,ACTIVE_NOT_RECRUITING,"Acute Lymphoblastic Leukemia, Acute Lymphoblastic Lymphoma",PHASE2,4,2,10,16,32,0.0,0.0,0.0,1.0,1.0,0.0,0.0
CES2,NCT04603391,COMPLETED,Drug Interaction,PHASE4,6,3,0,16,25,0.0,0.0,1.0,2.0,1.0,0.0,3.0
CFD,NCT01329276,COMPLETED,Chronic Obstructive Pulmonary Disease,PHASE4,6,3,0,16,25,0.0,0.0,14.0,0.0,3.0,3.0,5.0
CFH,NCT02438046,UNKNOWN,Gingival Recession,PHASE4,6,1,0,16,23,0.0,0.0,5.0,1.0,1.0,0.0,1.0
CHAMP1,NCT05487170,RECRUITING,"Advanced Solid Tumor, DLBCL",PHASE1,3,2,10,16,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CHCHD10,NCT06849115,COMPLETED,Amyotrophic Lateral Sclerosis (ALS),PHASE4,6,3,0,16,25,0.0,0.0,0.0,1.0,0.0,0.0,1.0
CHD7,NCT03186144,COMPLETED,"Development Abnormalies, Inclusion on Clinical Criteria of the Syndrome",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CHDH,NCT02122211,COMPLETED,"Men Carrying 2 Minor Alleles for Choline Dehydrogenase rs12676, Male Infertility",PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CHEK1,NCT01870596,COMPLETED,"Adult Acute Megakaryoblastic Leukemia, Adult Acute Monoblastic Leukemia, Adult Acute Monocytic Leukemia, Adult Acute Myeloid Leukemia With Inv(16)(p13.1q22); CBFB-MYH11, Adult Acute Myeloid Leukemia With Maturation, Adult Acute Myeloid Leukemia With Minimal Differentiation, Adult Acute Myeloid Leukemia With t(16;16)(p13.1;q22); CBFB-MYH11, Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); RUNX1-RUNX1T1, Adult Acute Myeloid Leukemia With t(9;11)(p22;q23); MLLT3-MLL, Adult Acute Myeloid Leukemia Without Maturation, Adult Acute Myelomonocytic Leukemia, Adult Erythroleukemia, Adult Pure Erythroid Leukemia, Alkylating Agent-Related Acute Myeloid Leukemia, Recurrent Adult Acute Myeloid Leukemia",PHASE2,4,3,10,16,33,0.0,0.0,0.0,8.0,6.0,0.0,0.0
CHEK2,NCT04508803,COMPLETED,Treatment Efficacy,PHASE2,4,3,0,16,23,0.0,0.0,0.0,2.0,11.0,0.0,0.0
CHFR,NCT01715233,COMPLETED,"Metastatic Esophageal Cancer, Gastroesophageal Cancer, Gastric Cancer",PHASE2,4,3,10,16,33,0.0,0.0,0.0,1.0,3.0,0.0,0.0
CHL1,NCT06426303,RECRUITING,Alcohol Use Disorder,PHASE4,6,2,0,16,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CHM,NCT00887172,COMPLETED,Acute Upper Respiratory Tract Infections,PHASE4,6,3,0,16,25,0.0,0.0,12.0,5.0,12.0,4.0,2.0
CHN1,NCT02817204,UNKNOWN,Primary Hypertension,PHASE3,5,1,0,16,22,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHRNA5,NCT03294460,RECRUITING,Alcohol Drinking,PHASE1,3,2,0,16,21,0.0,0.0,1.0,1.0,0.0,0.0,0.0
CHUK,NCT04088591,WITHDRAWN,Sepsis,PHASE3,5,0,0,16,21,0.0,0.0,3.0,0.0,0.0,1.0,0.0
CIC,NCT02325310,COMPLETED,"Measles, Rubella, Mumps",PHASE4,6,3,0,16,25,1.0,0.0,34.0,9.0,14.0,18.0,4.0
CIDEB,NCT06836609,NOT_YET_RECRUITING,"Metabolic Dysfunction-Associated Steatotic Liver Disease, Metabolic Dysfunction-Associated Steatohepatitis",PHASE1,3,2,0,16,21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CIITA,NCT06321289,RECRUITING,"Non-hodgkin Lymphoma,B Cell",PHASE1,3,2,10,16,31,0.0,0.0,0.0,2.0,0.0,0.0,0.0
CINP,NCT06848348,RECRUITING,Chemotherapy Induced Neuropathic Pain,PHASE2,4,2,0,16,22,1.0,0.0,3.0,0.0,2.0,0.0,0.0
CISH,NCT01501487,COMPLETED,Breast Cancer,PHASE4,6,3,10,16,35,0.0,0.0,1.0,4.0,2.0,0.0,1.0
CIT,NCT00357331,COMPLETED,"Bone Diseases, Metabolic, Osteoporosis, Postmenopausal",PHASE4,6,3,0,16,25,10.0,0.0,127.0,47.0,44.0,24.0,11.0
CITED2,NCT04883125,COMPLETED,"Chronic Myelogenous Leukemia, BCR-ABL Positive, CML, Chronic Phase",PHASE2,4,3,10,16,33,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CKB,NCT03756194,UNKNOWN,Aging,NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CLCF1,NCT01834105,UNKNOWN,Postmenopausal Osteoporosis,PHASE2,4,1,0,16,21,0.0,0.0,1.0,0.0,1.0,0.0,0.0
CLCN5,NCT00638482,TERMINATED,"Dent's Disease, Nephrolithiasis",PHASE2,4,0,0,16,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CLEC11A,NCT04507074,ACTIVE_NOT_RECRUITING,"Low Back Pain, Obesity",NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CLEC12A,NCT06128044,RECRUITING,"Acute Myeloid Leukemia, in Relapse, Acute Myeloid Leukemia Refractory",PHASE1,3,2,10,16,31,0.0,0.0,0.0,2.0,0.0,0.0,0.0
CLEC7A,NCT03782974,COMPLETED,Protective Qi Insufficiency (a Condition Term From TCM),NA,0,3,0,16,19,0.0,0.0,2.0,0.0,0.0,0.0,0.0
CLIP2,NCT05447962,ACTIVE_NOT_RECRUITING,Hypertension,NA,0,2,0,16,18,0.0,0.0,2.0,0.0,0.0,0.0,0.0
CLN3,NCT04637282,NOT_YET_RECRUITING,Juvenile Neuronal Ceroid Lipofuscinosis,PHASE3,5,2,0,16,23,0.0,0.0,1.0,2.0,1.0,1.0,0.0
CLN5,NCT05228145,ACTIVE_NOT_RECRUITING,Neuronal Ceroid Lipofuscinosis CLN5,PHASE1,3,2,0,16,21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CLN6,NCT02725580,COMPLETED,Variant Late-Infantile Neuronal Ceroid Lipofuscinosis,PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CLOCK,NCT00669344,COMPLETED,Cognitive Impairment,PHASE4,6,3,0,16,25,7.0,0.0,151.0,3.0,18.0,25.0,16.0
CLPB,NCT06025201,RECRUITING,"Chronic Low-back Pain, Healthy",NA,0,2,0,16,18,0.0,0.0,2.0,0.0,0.0,0.0,0.0
CLPP,NCT04732065,RECRUITING,"Diffuse Midline Glioma (DMG), Glioblastoma, Recurrent Ependymoma, Recurrent Malignant Central Nervous System Neoplasm, Spinal Cord Glioma, World Health Organization (WHO) Grade III Glioma, CNS Tumor, Central Nervous System Tumor",PHASE1,3,2,10,16,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CLPX,NCT01129453,COMPLETED,Salmonella,PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
